##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	patagonia1_E1_L1_P1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	156508
Sequences flagged as poor quality	0
Sequence length	101
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	54-55	1.4812342988919838
1104	56-57	2.1982557623101826
1104	58-59	2.2298265439988896
1104	60-61	1.941756555235159
1104	62-63	2.093110450859946
1104	64-65	2.316317653184157
1104	66-67	2.069886757107284
1104	68-69	1.8387264938795056
1104	70-71	1.7879463298023737
1104	72-73	1.8300546031304066
1104	74-75	1.8405893481635047
1104	76-77	1.4536666960923412
1104	78-79	1.3657090523238864
1104	80-81	1.4985472509170776
1104	82-83	1.522396610951759
1104	84-85	1.48831957999068
1104	86-87	1.649498653303624
1104	88-89	1.6606386886193256
1104	90-91	1.6533080967830394
1104	92-93	1.6062416024003205
1104	94-95	1.2683282539832526
1104	96-97	1.2176286274311323
1104	98-99	1.2861881895057259
1104	100-101	1.3274867216947932
1105	1	0.6020668450438933
1105	2	0.5931534855960621
1105	3	0.4140424970387926
1105	4	0.2811002672915208
1105	5	0.4609152337194402
1105	6	0.4204383753508196
1105	7	0.26944457041674497
1105	8	0.2367370082791922
1105	9	0.35829710315181273
1105	10-11	0.31202057461340615
1105	12-13	0.2916179233211551
1105	14-15	0.5052989945843365
1105	16-17	0.6630304750257352
1105	18-19	0.4224916962347862
1105	20-21	0.2892236794385781
1105	22-23	0.17601419974600674
1105	24-25	0.1215499034367653
1105	26-27	0.2757669976320898
1105	28-29	0.1665595815109242
1105	30-31	-0.17812508400509586
1105	32-33	-0.06338332674319958
1105	34-35	-0.3159878618271321
1105	36-37	-0.09524725353955432
1105	38-39	-0.4734589222215959
1105	40-41	-0.6036598289444584
1105	42-43	-0.9451328057723529
1105	44-45	-1.0294353994820824
1105	46-47	-0.7966747595606307
1105	48-49	-0.8643134327164006
1105	50-51	-0.3596762033294709
1105	52-53	-0.9646557504086246
1105	54-55	-0.5210198164194466
1105	56-57	-0.3922190495022022
1105	58-59	-0.17200570019004147
1105	60-61	-0.3183973036448151
1105	62-63	-0.21748182310812325
1105	64-65	-0.10547074949596436
1105	66-67	0.42471345906774616
1105	68-69	0.250815996733337
1105	70-71	0.31859402605516607
1105	72-73	0.7427438247368272
1105	74-75	0.959250941347392
1105	76-77	0.9360266927835497
1105	78-79	0.713856128177973
1105	80-81	0.8822845327435331
1105	82-83	0.910207844304395
1105	84-85	0.8322686245766633
1105	86-87	0.9318214260722613
1105	88-89	0.8164828444634757
1105	90-91	1.0538581836388552
1105	92-93	0.7520559791064194
1105	94-95	0.6623848343455556
1105	96-97	0.8869354352729744
1105	98-99	0.9763610739461193
1105	100-101	0.8243226882759842
1106	1	0.4102708361747105
1106	2	0.3485383446394579
1106	3	0.4412835486700857
1106	4	0.3968747367245271
1106	5	0.24797573419457564
1106	6	0.3741127497568968
1106	7	0.43423709496536844
1106	8	0.24774429367672468
1106	9	0.4059689435065792
1106	10-11	0.2704067006824573
1106	12-13	0.4918475717215358
1106	14-15	0.48276969461601027
1106	16-17	0.5497900569072769
1106	18-19	0.6775993934156475
1106	20-21	0.33147106619815503
1106	22-23	0.4668757771929535
1106	24-25	0.4584995391668869
1106	26-27	0.44515249018832037
1106	28-29	0.3981877094805242
1106	30-31	0.4998524262894932
1106	32-33	0.7030088176977287
1106	34-35	0.8888743491326352
1106	36-37	0.8783827749685216
1106	38-39	0.9414523859823944
1106	40-41	1.0263686791328297
1106	42-43	1.080049329165881
1106	44-45	1.2856976382119356
1106	46-47	1.4799327792420343
1106	48-49	1.207748651540804
1106	50-51	1.093602225558712
1106	52-53	1.2542625264364915
1106	54-55	1.0400349824402255
1106	56-57	1.1942554516064376
1106	58-59	0.9883126400063418
1106	60-61	0.8948985468461572
1106	62-63	1.0561561243103128
1106	64-65	1.101252405397922
1106	66-67	0.48857947110448663
1106	68-69	0.5069531522607349
1106	70-71	0.1506735319151602
1106	72-73	0.30997537367569095
1106	74-75	0.07653000374840957
1106	76-77	-0.0666261421863581
1106	78-79	-0.5962879959905436
1106	80-81	-0.7893974438164975
1106	82-83	-0.8852467011501517
1106	84-85	-1.0762679607891883
1106	86-87	-1.0249809179252054
1106	88-89	-1.0771661894294553
1106	90-91	-1.4458646544986173
1106	92-93	-1.4500346132280768
1106	94-95	-1.919259131444747
1106	96-97	-1.6289419799946856
1106	98-99	-2.053255650792554
